name;year;mileage;fuel;capacity;gearbox;price;currency
Mercedes Benz 519 CDI Bus armoured armored VR6 11 passengers;-;10 km;Diesel;2,987 cc;Automatic;233000,00;EUR
Lexus LX570 S gepanzert armoured armored VR7 new stock;-;903 km;Petrol;5,700 cc;Automatic;175000,00;EUR
Mercedes Benz S560L 4x4  gepanzert armoured armored VR6;-;10 km;Petrol;4,663 cc;Automatic;296500,00;EUR
Mercedes Benz S 600 L gepanzert armoured armored VR6;-;10 km;Petrol;5,980 cc;Automatic;389000,00;EUR
Land Rover Freelander 2 DSL A.;-;124000 km;Diesel;2,179 cc;Automatic;9999,00;EUR
Ford TRANSIT/TOURNEO €4500 NETTO!!!!export;2010;258991 km;Diesel;2,198 cc;Manual;5445,00;EUR
Peugeot 308 SW 1.6 VTI XT Pano/Airco;2009;194354 km;Petrol;1,600 cc;Manual;2250,00;EUR
Mercedes Benz GLC 220d AMG Aut9 4Matic Pano/Leer;2016;131275 km;Diesel;2,143 cc;Automatic;20900,00;EUR
Mercedes Benz SPRINTER 311cdi l2h2 airco 9persoons met invalide lift;2011;700000 km;Diesel;2,148 cc;Automatic;6750,00;EUR
Mercedes Benz sprinter 311cdi 9 persoons;2007;240000 km;Diesel;2,148 cc;Manual;6750,00;EUR
Mercedes Benz SPRINTER 311cdi airco 9 persoons;2008;220000 km;Diesel;2,148 cc;Automatic;9250,00;EUR
Fiat FIAT DUCATO 9 persoons;2012;150000 km;Diesel;1,956 cc;Manual;8750,00;EUR
BMW 3-serie Touring 318i;2010;148149 km;Petrol;1,995 cc;Manual;7950,00;EUR
Land Rover Discovery Sport TD4 Aut. SE MOTORSCHADE;-;124000 km;Diesel;1,999 cc;Automatic;11999,00;EUR
Ford Focus Wagon 1.6-16V Trend airco;2000;240971 km;Petrol;1,596 cc;Manual;699,00;EUR
Mercedes Benz SPRINTER 315 CDI LANG;2009;253015 km;Diesel;2,148 cc;Automatic;5950,00;EUR
Opel Corsa 1.2-16V Njoy airco;2003;243173 km;Petrol;1,199 cc;Manual;749,00;EUR
Volkswagen Transporter T6.1 2.0 TDI 150 PK DSG L2H1 CARAVELLE EURO 6 D-TEMP CRUISE ...;2020;3 km;Diesel;1,968 cc;Automatic;44500,00;EUR
Toyota 4.5 D-4D V8;2008;461390 km;Diesel;4,461 cc;Automatic;25000,00;EUR
Mercedes Benz Sprinter 311 2.2 CDI 366 HD;2008;561000 km;Diesel;2,148 cc;Automatic;7950,00;EUR
Toyota 2.5 D-4D;2009;101997 km;Diesel;2,494 cc;Manual;8500,00;EUR
Toyota 90 3.0 D-4D;2002;272247 km;Diesel;2,982 cc;Automatic;6500,00;EUR
Mercedes Benz 500 sel;1981;278000 km;LPG;4,973 cc;Automatic;9750,00;EUR
Mercedes Benz 190 E 1.8;1993;123000 km;Petrol;1,797 cc;Manual;5500,00;EUR
Toyota 1.6;2008;226886 km;Petrol;1,598 cc;Manual;4800,00;EUR
Mercedes Benz SPRINTER 316 ngt aardgas !;2014;248489 km;LPG;1,796 cc;Automatic;14950,00;EUR
Toyota 90 3.0 D-4D;2001;463349 km;Diesel;2,982 cc;Automatic;6500,00;EUR
Peugeot Partner Tepee Active *Navi*;2016;27000 km;Petrol;1,598 cc;Manual;12750,00;EUR
Peugeot 306 XR 1.4 CRYSTAL;1995;207023 km;Petrol;1,360 cc;Manual;950,00;EUR
Iveco Daily 50 C 14 HPi , 3.0, NO KEYS , immobiliser;2007;1 km;Diesel;2,998 cc;Manual;2750,00;EUR
Toyota 4.5 D-4D V8;2008;461355 km;Diesel;4,461 cc;Automatic;25000,00;EUR
Toyota 90 3.0 D-4D;2000;211201 km;Diesel;2,982 cc;Manual;5900,00;EUR
Audi 2.0 TDI;2012;185657 km;Diesel;1,968 cc;Automatic;14500,00;EUR
Audi A3 Cabrio 1.2 TFSI Ambition Climate;2012;101298 km;Petrol;1,197 cc;Manual;8900,00;EUR
Mercedes Benz M-klasse 270 CDI clima, cruise;2003;326370 km;Diesel;2,685 cc;Automatic;3550,00;EUR
Renault Megane Grandtour 1.5 dCi 110 Eco Dynamique Aut6 Navi;2010;199587 km;Diesel;1,461 cc;Automatic;3300,00;EUR
Land Rover Range Rover TDV8;-;165000 km;Diesel;4,367 cc;Automatic;17241,00;EUR
Land Rover Range Rover Evoque TD4 Aut. Pure Technik;-;94000 km;Diesel;2,179 cc;Automatic;19784,00;EUR
Toyota Corolla-verso 1.8 VVT-i Linea Sol Airco/ECC;2003;185287 km;Petrol;1,794 cc;Manual;1950,00;EUR
Mercedes Benz SPRINTER 9 persoons l2h2 9x op voorraad vanaf 6500ex btw;2008;240000 km;Diesel;2,148 cc;Manual;6500,00;EUR
Mercedes Benz sprinter 311cdi;2006;290000 km;Diesel;2,148 cc;Manual;6250,00;EUR
Mercedes Benz sprinter 311cdi 9 persoons sprinter 311cdi 9 persoons;2007;230000 km;Diesel;2,148 cc;Manual;6500,00;EUR
Fiat FIAT DUCATO 9 persoons 115000km;2012;115000 km;Diesel;1,956 cc;Manual;8750,00;EUR
Fiat FIAT DUCATO 9 persoons 115000km;2012;115000 km;Diesel;1,956 cc;Manual;8750,00;EUR
Fiat FIAT DUCATO 9 persoons 105000km;2012;105000 km;Diesel;1,956 cc;Manual;8750,00;EUR
Mercedes Benz C-klasse 220 CDI Avantgarde Navigaie LED;2014;91191 km;Diesel;2,143 cc;Manual;17900,00;EUR
Mitsubishi Space Star 1.0 Bright Automaat | Climate control | Dealer onderhouden | ...;2015;24608 km;Petrol;999 cc;Automatic;8740,00;EUR
Peugeot 108 1.0 e-VTi Active | Airco | 5-deurs | Lederen multifunctioneel stuurw...;2015;67034 km;Petrol;998 cc;Manual;6395,00;EUR
Ford Ka 1.3;2007;111630 km;Petrol;1,299 cc;Manual;1500,00;EUR
Land Rover Range Rover Autobiography  Black  Kühlbox-Voll;-;50 km;Petrol;5,000 cc;Automatic;109900,00;EUR
Toyota COROLLA VERSO;2004;228552 km;Petrol;1,794 cc;Manual;2800,00;EUR
Audi A6 Avant 3.0 TDI quattro Pro Line Plus;2013;213443 km;Diesel;2,967 cc;Automatic;12500,00;EUR
Ford Focus 1.8 TDCi , Airco;2003;197288 km;Diesel;1,800 cc;Manual;550,00;EUR
Mazda 323 1.4/16V Si;1998;243780 km;Petrol;1,400 cc;Manual;600,00;EUR
Mercedes Benz AMG GT S;2015;13556 km;Petrol;3,982 cc;Automatic;127500,00;EUR
Opel Astra Wagon 1.6 Temptation;2008;98540 km;Petrol;1,598 cc;Manual;5149,00;EUR
Opel Astra 1.6 Sport 32.000 km met nap;1998;32787 km;Petrol;1,598 cc;Manual;3449,00;EUR
BMW 5-serie 520i Executive Automaat;2004;365427 km;Petrol;2,171 cc;Automatic;3250,00;EUR
Mercedes Benz GL 63 AMG 4 MATIC - Full spec - 7 seater - Panorama roof - Harman Kardon...;2014;59684 km;Petrol;5,461 cc;Automatic;58900,00;EUR
Audi Q5;-;31500 km;Petrol;1,984 cc;Automatic;23995,00;EUR
Peugeot 206 Cabriolet CC Filou       1. Hand.;-;143800 km;Petrol;1,587 cc;Manual;1690,00;EUR
BMW 1-serie 5-Drs 116i Business Line Airco;2010;214471 km;Petrol;1,995 cc;Manual;3800,00;EUR
Volkswagen Passat 2.0 FSi , Navi , Leder , Aut.;2006;281221 km;Petrol;1,984 cc;Automatic;2500,00;EUR
Fiat FIAT DUCATO 9 persoons 100000km;2012;100000 km;Diesel;1,956 cc;Manual;8750,00;EUR
Mercedes Benz sprinter 316cdi airco persoon invalide vervoer;2013;620000 km;Diesel;2,143 cc;Automatic;14500,00;EUR
Mercedes Benz SPRINTER 9persoons met invalide lift;2011;500000 km;Diesel;2,148 cc;Automatic;7950,00;EUR
Opel Vivaro 9 Sitze * 8400,-netto TÜV Neu;-;143000 km;Diesel;1,598 cc;Manual;8400,00;EUR
Opel Vivaro 9 Sitze;-;165000 km;Diesel;1,598 cc;Manual;8200,00;EUR
Audi A4 Avant 1.4 TFSI 150pk Pro L. Spring Adv. Avant Navi Klima;2016;121849 km;Petrol;1,395 cc;Manual;12950,00;EUR
Citroen Jumpy HDi 125 FAP L1 Multispace Attraction;2014;265000 km;Diesel;1,997 cc;Manual;4750,00;EUR
Mercedes Benz 124type 230 E 124;1985;190000 km;Petrol;2,299 cc;Automatic;7750,00;EUR
Mercedes Benz 500 SL Airco Automaat Marge SL 500;1991;107000 mi;Petrol;4,973 cc;Automatic;13750,00;EUR
Mercedes Benz sprinter 311cdi airco 9 persoons l3h2;2008;470000 km;Diesel;2,148 cc;Automatic;6500,00;EUR
Mercedes Benz 200 E 124 type automaat 157000km;1989;157000 km;Petrol;1,996 cc;Automatic;7750,00;EUR
Jeep JEEP WRANGLER 4x4 cabrio;1997;160000 km;LPG;2,464 cc;Manual;9750,00;EUR
Ford Ranger Doppelkabine 4x4 Wildtrak;-;33500 km;Diesel;3,198 cc;Automatic;24900,00;EUR
Renault Trafic Kasten L1H1 2,7t Komfort;-;6900 km;Diesel;1,598 cc;Manual;14900,00;EUR
Ford Mondeo TDCI AC-CLIME Mondeo;2006;238000 km;Diesel;1,998 cc;Manual;650,00;EUR
Fiat 500 1.2 Lounge Aut.NAP Airco,Leer,Pano,Pdc;2010;52281 km;Petrol;1,242 cc;Automatic;7250,00;EUR
Volkswagen PASSAT Variant 1.6 TDI Diesel Trekhaak- climat control A/C- Navi passat;2015;159000 km;Diesel;1,598 cc;Manual;14900,00;EUR
Opel Zafira 1.8-16V Selection Airco 7 persoons apk verlopen;2002;190913 km;Petrol;1,796 cc;Manual;950,00;EUR
Opel Astra Sports Tourer 1.4 Turbo Business + nap airco;2013;149284 km;Petrol;1,362 cc;Manual;8250,00;EUR
Opel CORSA 1.2 16v Strada 5drs. - APK Jan. 2021 - 7120;1999;241846 km;Petrol;1,199 cc;Manual;650,00;EUR
