name;year;mileage;engine_power_kW;engine_power_hp;fuel;consumption;ecology;gearbox;price;currency
Renault Megane;2011;139000 km;81 kW ;110 hp;Diesel;4.1 l/100 km ;104 g CO2/km ;Manual;4999,00;EUR
Renault Megane;2008;157000 km;99 kW ;135 hp;Gasoline;8.4 l/100 km ;201 g CO2/km ;Automatic;4999,00;EUR
Volkswagen Caddy;2012;289000 km;75 kW ;102 hp;Diesel;5.7 l/100 km ;149 g CO2/km ;Manual;4999,00;EUR
Hyundai i30;2012;113000 km;80 kW ;109 hp;Gasoline;6.1 l/100 km ;142 g CO2/km ;Manual;4999,00;EUR
Volkswagen T4 California;1994;344000 km;57 kW ;77 hp;Diesel;-/- (l/100 km);-/- (CO2/km);Automatic;4999,00;EUR
Ford C-Max;2010;115000 km;80 kW ;109 hp;Diesel;4.9 l/100 km ;129 g CO2/km ;Manual;4999,00;EUR
Peugeot 207;2011;58000 km;54 kW ;73 hp;Gasoline;6.3 l/100 km ;145 g CO2/km ;Manual;4999,00;EUR
Hyundai i10;2015;90000 km;65 kW ;88 hp;Gasoline;4.7 l/100 km ;108 g CO2/km ;Manual;4999,00;EUR
Mazda MX-5;2005;83900 km;81 kW ;110 hp;Gasoline;8.1 l/100 km ;196 g CO2/km ;Manual;5000,00;EUR
Volkswagen Polo;2009;66600 km;59 kW ;80 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;5000,00;EUR
BMW 318;2006;238000 km;110 kW ;150 hp;Gasoline;7.8 l/100 km ;190 g CO2/km ;Automatic;5000,00;EUR
Mercedes-Benz CLK 200;2000;94931 km;100 kW ;136 hp;Gasoline;9.6 l/100 km ;225 g CO2/km ;Automatic;5090,00;EUR
Renault Megane;2010;96133 km;81 kW ;110 hp;Diesel;4.4 l/100 km ;110 g CO2/km ;Automatic;5190,00;EUR
Opel Corsa;2012;91158 km;64 kW ;87 hp;Gasoline;5.7 l/100 km ;135 g CO2/km ;Manual;5200,00;EUR
Toyota Yaris;2010;94200 km;51 kW ;69 hp;Gasoline;5 l/100 km ;115 g CO2/km ;Manual;5200,00;EUR
BMW 116;2008;164145 km;90 kW ;122 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;5280,00;EUR
Opel Astra;2013;136000 km;92 kW ;125 hp;Diesel;4.5 l/100 km ;119 g CO2/km ;Manual;5299,00;EUR
