name,mark,year,mileage,engine_power_kW,engine_power_hp,fuel_type,consumption_(l/100 km),ecology_(gCO2/km),gearbox,price,currency,country,engine_size,nr_of_accidents,color_exterior,color_interior,price_eur
mini one,mini,2006,230000.0,66.0,90.0,Gasoline,6.8,164.0,Manual,1900.0,EUR,Germany,0.0,,unknown,unknown,1900.0
mercedes-benz c 220,mercedes,2003,408000.0,110.0,150.0,Diesel,7.3,194.0,Automatic,1950.0,EUR,Germany,0.0,,unknown,unknown,1950.0
ford fiesta,ford,2012,260000.0,51.0,69.0,Diesel,,,Manual,1980.0,EUR,Germany,0.0,,unknown,unknown,1980.0
renault twingo,renault,1999,86600.0,43.0,58.0,Gasoline,7.0,166.0,Automatic,1980.0,EUR,Germany,0.0,,unknown,unknown,1980.0
ford streetka,ford,2003,180000.0,70.0,95.0,Gasoline,7.9,189.0,Manual,1990.0,EUR,Germany,0.0,,unknown,unknown,1990.0
volkswagen golf,volkswagen,2001,199894.0,85.0,116.0,Diesel,,,Automatic,1990.0,EUR,Germany,0.0,,unknown,unknown,1990.0
opel astra,opel,2004,146200.0,74.0,101.0,Gasoline,8.4,202.0,Automatic,1990.0,EUR,Germany,0.0,,unknown,unknown,1990.0
ford focus,ford,2007,165000.0,80.0,109.0,Diesel,4.8,127.0,Manual,1990.0,EUR,Germany,0.0,,unknown,unknown,1990.0
mitsubishi carisma,mitsubishi,1997,110000.0,66.0,90.0,Gasoline,,,Automatic,1990.0,EUR,Germany,0.0,,unknown,unknown,1990.0
mercedes-benz c 320,mercedes,2002,337000.0,160.0,218.0,LPG,11.5,273.0,Automatic,1995.0,EUR,Germany,0.0,,unknown,unknown,1995.0
peugeot 206,peugeot,2004,90000.0,44.0,60.0,Gasoline,6.3,149.0,Manual,1999.0,EUR,Germany,0.0,,unknown,unknown,1999.0
volkswagen caddy,volkswagen,2005,330000.0,77.0,105.0,Diesel,6.1,167.0,Manual,1999.0,EUR,Germany,0.0,,unknown,unknown,1999.0
mercedes-benz clk 200,mercedes,2000,214000.0,100.0,136.0,Gasoline,9.4,222.0,Automatic,1999.0,EUR,Germany,0.0,,unknown,unknown,1999.0
citroen c2,citroen,2007,100000.0,44.0,60.0,Gasoline,6.0,143.0,Manual,1999.0,EUR,Germany,0.0,,unknown,unknown,1999.0
audi a3,audi,1999,250000.0,74.0,101.0,Gasoline,8.7,209.0,Automatic,1999.0,EUR,Germany,0.0,,unknown,unknown,1999.0
bmw 520,bmw,2001,249000.0,125.0,170.0,Gasoline,9.5,228.0,Manual,1999.0,EUR,Germany,0.0,,unknown,unknown,1999.0
bmw 318,bmw,2002,210000.0,105.0,143.0,Gasoline,7.6,185.0,Manual,1999.0,EUR,Germany,0.0,,unknown,unknown,1999.0
hyundai i30,hyundai,2008,217300.0,66.0,90.0,Diesel,5.0,128.0,Manual,2000.0,EUR,Germany,0.0,,unknown,unknown,2000.0
volkswagen polo,volkswagen,2005,160000.0,40.0,54.0,Gasoline,5.8,139.0,Manual,2000.0,EUR,Germany,0.0,,unknown,unknown,2000.0
opel vectra,opel,2003,72900.0,90.0,122.0,Gasoline,7.9,190.0,Manual,2100.0,EUR,Germany,0.0,,unknown,unknown,2100.0
dacia sandero,dacia,2009,159000.0,55.0,75.0,Gasoline,7.0,166.0,Manual,2190.0,EUR,Germany,0.0,,unknown,unknown,2190.0
toyota aygo,toyota,2010,204000.0,50.0,68.0,Gasoline,4.6,106.0,Manual,2200.0,EUR,Germany,0.0,,unknown,unknown,2200.0
ford fiesta,ford,2008,158225.0,59.0,80.0,Gasoline,6.2,147.0,Manual,2280.0,EUR,Germany,0.0,,unknown,unknown,2280.0
mercedes-benz e 320,mercedes,2001,310000.0,145.0,197.0,Diesel,7.8,207.0,Automatic,2280.0,EUR,Germany,0.0,,unknown,unknown,2280.0
peugeot 307,peugeot,2006,239887.0,66.0,90.0,Diesel,5.1,134.0,Manual,2290.0,EUR,Germany,0.0,,unknown,unknown,2290.0
ford transit connect,ford,2007,258200.0,55.0,75.0,Diesel,,166.0,Manual,2380.0,EUR,Germany,0.0,,unknown,unknown,2380.0
volkswagen golf,volkswagen,2008,265900.0,66.0,90.0,Diesel,5.3,140.0,Manual,2400.0,EUR,Germany,0.0,,unknown,unknown,2400.0
