name;year;mileage;capacity;fuel;other;price;currency
Lexus LS 600h, bia≥a per≥a, oryginalny przebieg;2007;181828 km;4969 cm33;;['Hybrid'];59999.0;PLN
Mercedes-Benz 41.41  Mercedes Actros Betonomieszarka LIEBHERR 9m3, Kiper Skibniewski 13m3;2004;550410 km;0;;['41.41 '];165000.0;PLN
BMW Seria 3 318i Touring doinwestowany, prywatnie;2008;252000 km;1995 cm33;Petrol;[];23500.0;PLN
Lamborghini Aventador Lamborghini Aventador LP700 4;2013;60400 km;6498 cm33;Petrol;[];849000.0;PLN
CitroÎn Jumper  163KM L4H2 /1 wl /Bezwypadkowy/ Gwarancja fabryczna /Leasing / F-Vat;2019;14126 km;1997 cm33;;['Jumper '];69900.0;PLN
BMW Seria 6 BMW 6 Gran Coupe 650I X Drive M Pakiet Face Lifting.;2016;46000 km;4400 cm33;Petrol;[];233000.0;PLN
Volkswagen Golf 1.6 TDI 115 KM Comfortline Faktura VAT Gwarancja;2017;149355 km;1598 cm33;Diesel;[];51900.0;PLN
Mercedes-Benz Klasa B Skrzynia automatyczna CVT, chipowany 158km, serwisowany;2007;253500 km;1992 cm33;Diesel;[];19900.0;PLN
Volkswagen Polo VW POLO 6R 2010r. 1.2 TSI 105KM;2010;182600 km;1197 cm33;Petrol;[];21500.0;PLN
äkoda Fabia Bardzo ≥adna FABIA,bezwypadkowy,1 wszy w≥aúciciel ,Salon Polska;2005;238000 km;1198 cm33;Petrol;[];7200.0;PLN
Land Rover Discovery Land Rover III 2008 Oryginalny Przebieg Bezwypadkowy 7 osobowy, Hak;2008;291000 km;2720 cm33;Diesel;[];55000.0;PLN
Mercedes-Benz Klasa S Sprzedam úlicznπ S63 , niski przebieg;2008;150000 km;6208 cm33;Petrol;[];90000.0;PLN
BMW Seria 1 Bezwypadkowy, Stan idealny, 1 w≥aúciciel, Salon polska;2016;109183 km;1995 cm33;Diesel;[];80000.0;PLN
Laverda M306  Pierwszy w≥aúciciel / Bardzo dobry stan / W trakcie pracy!;2003;0;0;;[];169000.0;PLN
BMW X5 2,5d XDRIVE BEZWYPADKOWY, SALON ,M PAKIET pierwszy w≥aúciel, serwis ,;2015;178500 km;2000 cm33;Diesel;[];127000.0;PLN
Audi A6 4x4 SkÛra Navi Fakt.Vat 23%;2013;153000 km;1984 cm33;Petrol;[];53900.0;PLN
SsangYong REXTON REXTON, 4x4, wersja 7 miejscowa, salon Polska;2014;125000 km;1998 cm33;Diesel;[];58000.0;PLN
Volvo V70 S+V70 dla mi≥oúnikÛw marki;2006;245000 km;2435 cm33;Petrol;[];13200.0;PLN
Toyota Corolla Comfort+Tech 1.2 T 116km 2019r Kamera Asystent Park. Salon Plolska!!!;2019;7400 km;1197 cm33;Petrol;[];58900.0;PLN
MG MGB GT oryginalny z 1967 roku po glebokiej profesjonalnej renowacji!;1967;55800 km;1800 cm33;Petrol;[];57000.0;PLN
äkoda Octavia Skoda Octavia led ksenon vat 23;2016;159000 km;1986 cm33;Diesel;[];49900.0;PLN
Audi A3 Wyjπtkowy kabriolet;2018;22000 km;2000 cm33;Petrol;[];119000.0;PLN
Citroen Peugeot FABRYCZNIE NOWE Radio CD Siemens 96624490XT, PSARCD411-52;0;0;0;;['CitroÎn', 'Uk≥ad elektryczny i audio'];149.0;PLN
