name;year;mileage;engine_size;fuel;other;price;currency
FORD ESCORT 100E ESTATE - SUPER RARE + STUNNING CONDITION THROUGHOUT - PX;1961;41,000 miles;1,172 cc;Petrol;['Seller typeTrade'];15995.0;GBP
2017 Peugeot 108;2017;7,674 miles;1,199 cc;Petrol;['Seller typeTrade'];7144.0;GBP
2017 Peugeot 2008;2017;16,540 miles;1,199 cc;Petrol;['Seller typeTrade'];8990.0;GBP
2017 Peugeot 208;2017;11,726 miles;1,199 cc;Petrol;['Seller typeTrade'];9990.0;GBP
2019 DS Automobiles DS 7 CROSSBACK;2019;12,463 miles;1,997 cc;Diesel;['Seller typeTrade'];28000.0;GBP
2019 Peugeot 3008 SUV;2019;8,132 miles;1,499 cc;Diesel;['Seller typeTrade'];20995.0;GBP
2019 Peugeot 508;2019;3,214 miles;1,598 cc;Petrol;['Seller typeTrade'];21995.0;GBP
2019 Peugeot 3008 SUV;2019;3,397 miles;1,199 cc;Petrol;['Seller typeTrade'];24399.0;GBP
2016 AUDI S3 2.0 S3 SPORTBACK QUATTRO 370 BHP;2016;32,358 miles;1,984 cc;Petrol;['Seller typeTrade'];22925.0;GBP
2017 Audi A6 Saloon 2.0 TDI ultra SE Executive S Tronic (s/s) 4dr;2017;27,897 miles;1,968 cc;Diesel;['Seller typeTrade'];15490.0;GBP
2015 Ford Focus 1.5 TDCi Zetec Powershift (s/s) 5dr;2015;63,860 miles;1,498 cc;Diesel;['Seller typeTrade'];7995.0;GBP
2016 66 VAUXHALL CORSA ENERGY ECOFLEX HEATED SEATS & STEERING WHEEL SVC HISTORY;2016;23,250 miles;1,398 cc;Petrol;['Seller typeTrade'];6795.0;GBP
2016 Volkswagen Golf 1.6 TDI 110 Match Edition TURBO DIESEL ESTATE Estate Diesel;2016;108,000 miles;1,598 cc;Diesel;['Seller typeTrade'];6995.0;GBP
2013 63 RENAULT CAPTUR 1.5 EXPRESSIONPLUS CONVENIENCE ENERGYTCE S/S 5D 90 BHP DI;2013;74,994 miles;1,461 cc;Diesel;['Seller typeTrade'];5670.0;GBP
2019 Toyota Prius Plus 1.8 VVTi Excel TSS 5dr CVT Auto PETROL/ELECTRIC brown CVT;2019;4,330 miles;1,798 cc;Petrol;['Seller typeTrade'];25990.0;GBP
56 3 door Freelander 2 litre Diesel Auto&quot;2006;63,800 miles;1,951 cc;Diesel;[];2400.0;GBP
